lemma,asp,def
смеркнуться,совершенный,"Переставать/перестать освещаться солнцем с наступлением ночи, заката солнца."
вечереть,несовершенный,"Переставать/перестать освещаться солнцем с наступлением ночи, заката солнца."
свечереть,совершенный,"Переставать/перестать освещаться солнцем с наступлением ночи, заката солнца."
меркнуть,несовершенный,"Переставать/перестать освещаться солнцем с наступлением ночи, заката солнца."
смеркнуть,совершенный,"Переставать/перестать освещаться солнцем с наступлением ночи, заката солнца."
темнеть,несовершенный,"Переставать/перестать освещаться солнцем с наступлением ночи, заката солнца."
стемнеть,совершенный,"Переставать/перестать освещаться солнцем с наступлением ночи, заката солнца."
темнеться,несовершенный,"Переставать/перестать освещаться солнцем с наступлением ночи, заката солнца."
стемнеться,совершенный,"Переставать/перестать освещаться солнцем с наступлением ночи, заката солнца."
жечь,несовершенный,"Обдавать/обдать зноем, жаром (о солнце)."
палить,несовершенный,"Обдавать/обдать зноем, жаром (о солнце)."
печь,несовершенный,"Обдавать/обдать зноем, жаром (о солнце)."
припекать,несовершенный,"Обдавать/обдать зноем, жаром (о солнце)."
припечь,совершенный,"Обдавать/обдать зноем, жаром (о солнце)."
жарить,несовершенный,"Обдавать/обдать зноем, жаром (о солнце)."
калить,несовершенный,"Обдавать/обдать зноем, жаром (о солнце)."
замерзать,несовершенный,Превращаться/превратиться в лёд или затвердевать/затвердеть в результате воздействия холода.
замёрзнуть,совершенный,Превращаться/превратиться в лёд или затвердевать/затвердеть в результате воздействия холода.
подмерзать,несовершенный,Превращаться/превратиться в лёд или затвердевать/затвердеть в результате воздействия холода.
подмёрзнуть,совершенный,Превращаться/превратиться в лёд или затвердевать/затвердеть в результате воздействия холода.
сковываться,несовершенный,Превращаться/превратиться в лёд или затвердевать/затвердеть в результате воздействия холода.
сковаться,совершенный,Превращаться/превратиться в лёд или затвердевать/затвердеть в результате воздействия холода.
вставать,несовершенный,Превращаться/превратиться в лёд или затвердевать/затвердеть в результате воздействия холода.
встать,совершенный,Превращаться/превратиться в лёд или затвердевать/затвердеть в результате воздействия холода.
застывать,несовершенный,Превращаться/превратиться в лёд или затвердевать/затвердеть в результате воздействия холода.
застыть,совершенный,Превращаться/превратиться в лёд или затвердевать/затвердеть в результате воздействия холода.
становиться,несовершенный,Превращаться/превратиться в лёд или затвердевать/затвердеть в результате воздействия холода.
стать,совершенный,Превращаться/превратиться в лёд или затвердевать/затвердеть в результате воздействия холода.
замораживать,несовершенный,"Подвергать/подвергнуть действию сильного холода, превращая в лёд (о воде), делать/сделать твёрдым, как камень (о почве, земле)."
заморозить,совершенный,"Подвергать/подвергнуть действию сильного холода, превращая в лёд (о воде), делать/сделать твёрдым, как камень (о почве, земле)."
заковывать,несовершенный,"Подвергать/подвергнуть действию сильного холода, превращая в лёд (о воде), делать/сделать твёрдым, как камень (о почве, земле)."
заковать,совершенный,"Подвергать/подвергнуть действию сильного холода, превращая в лёд (о воде), делать/сделать твёрдым, как камень (о почве, земле)."
заледенить,несовершенный,"Подвергать/подвергнуть действию сильного холода, превращая в лёд (о воде), делать/сделать твёрдым, как камень (о почве, земле)."
сковывать,несовершенный,"Подвергать/подвергнуть действию сильного холода, превращая в лёд (о воде), делать/сделать твёрдым, как камень (о почве, земле)."
сковать,совершенный,"Подвергать/подвергнуть действию сильного холода, превращая в лёд (о воде), делать/сделать твёрдым, как камень (о почве, земле)."
схватывать,несовершенный,"Подвергать/подвергнуть действию сильного холода, превращая в лёд (о воде), делать/сделать твёрдым, как камень (о почве, земле)."
схватить,совершенный,"Подвергать/подвергнуть действию сильного холода, превращая в лёд (о воде), делать/сделать твёрдым, как камень (о почве, земле)."
застилать,несовершенный,"Покрывать/покрыть собой небо, небосклон, небесные светила, горизонт, землю, топографические объекты, ландшафт и т.п."
застлать,совершенный,"Покрывать/покрыть собой небо, небосклон, небесные светила, горизонт, землю, топографические объекты, ландшафт и т.п."
заволакивать,несовершенный,"Покрывать/покрыть собой небо, небосклон, небесные светила, горизонт, землю, топографические объекты, ландшафт и т.п."
заволочь,совершенный,"Покрывать/покрыть собой небо, небосклон, небесные светила, горизонт, землю, топографические объекты, ландшафт и т.п."
закрывать,несовершенный,"Покрывать/покрыть собой небо, небосклон, небесные светила, горизонт, землю, топографические объекты, ландшафт и т.п."
закрыть,совершенный,"Покрывать/покрыть собой небо, небосклон, небесные светила, горизонт, землю, топографические объекты, ландшафт и т.п."
затуманивать,несовершенный,"Покрывать/покрыть собой небо, небосклон, небесные светила, горизонт, землю, топографические объекты, ландшафт и т.п."
затуманить,совершенный,"Покрывать/покрыть собой небо, небосклон, небесные светила, горизонт, землю, топографические объекты, ландшафт и т.п."
затягивать,несовершенный,"Покрывать/покрыть собой небо, небосклон, небесные светила, горизонт, землю, топографические объекты, ландшафт и т.п."
затянуть,совершенный,"Покрывать/покрыть собой небо, небосклон, небесные светила, горизонт, землю, топографические объекты, ландшафт и т.п."
обволакивать,несовершенный,"Покрывать/покрыть собой небо, небосклон, небесные светила, горизонт, землю, топографические объекты, ландшафт и т.п."
обволочь,совершенный,"Покрывать/покрыть собой небо, небосклон, небесные светила, горизонт, землю, топографические объекты, ландшафт и т.п."
обкладывать,несовершенный,"Покрывать/покрыть собой небо, небосклон, небесные светила, горизонт, землю, топографические объекты, ландшафт и т.п."
обложить,совершенный,"Покрывать/покрыть собой небо, небосклон, небесные светила, горизонт, землю, топографические объекты, ландшафт и т.п."
окутывать,несовершенный,"Покрывать/покрыть собой небо, небосклон, небесные светила, горизонт, землю, топографические объекты, ландшафт и т.п."
окутать,совершенный,"Покрывать/покрыть собой небо, небосклон, небесные светила, горизонт, землю, топографические объекты, ландшафт и т.п."
подёргивать,несовершенный,"Покрывать/покрыть собой небо, небосклон, небесные светила, горизонт, землю, топографические объекты, ландшафт и т.п."
подёрнуть,совершенный,"Покрывать/покрыть собой небо, небосклон, небесные светила, горизонт, землю, топографические объекты, ландшафт и т.п."
туманить,несовершенный,"Покрывать/покрыть собой небо, небосклон, небесные светила, горизонт, землю, топографические объекты, ландшафт и т.п."
затуманить,совершенный,"Покрывать/покрыть собой небо, небосклон, небесные светила, горизонт, землю, топографические объекты, ландшафт и т.п."
заслонять,несовершенный,"Покрывать/покрыть собой небо, небосклон, небесные светила, горизонт, землю, топографические объекты, ландшафт и т.п."
заслонить,совершенный,"Покрывать/покрыть собой небо, небосклон, небесные светила, горизонт, землю, топографические объекты, ландшафт и т.п."
загораживать,несовершенный,"Покрывать/покрыть собой небо, небосклон, небесные светила, горизонт, землю, топографические объекты, ландшафт и т.п."
загородить,совершенный,"Покрывать/покрыть собой небо, небосклон, небесные светила, горизонт, землю, топографические объекты, ландшафт и т.п."
проясняться,несовершенный,"Становиться/стать ясным, безоблачным (о погоде)."
проясниться,совершенный,"Становиться/стать ясным, безоблачным (о погоде)."
светлеть,несовершенный,"Становиться/стать ясным, безоблачным (о погоде)."
просветлеть,совершенный,"Становиться/стать ясным, безоблачным (о погоде)."
проясниваться,несовершенный,"Становиться/стать ясным, безоблачным (о погоде)."
проясниться,совершенный,"Становиться/стать ясным, безоблачным (о погоде)."
разветриваться,несовершенный,"Становиться/стать ясным, безоблачным (о погоде)."
разветриться,совершенный,"Становиться/стать ясным, безоблачным (о погоде)."
разгуливаться,несовершенный,"Становиться/стать ясным, безоблачным (о погоде)."
разгуляться,совершенный,"Становиться/стать ясным, безоблачным (о погоде)."
разъяснеть,несовершенный,"Становиться/стать ясным, безоблачным (о погоде)."
разъясниваться,несовершенный,"Становиться/стать ясным, безоблачным (о погоде)."
разъясниться,совершенный,"Становиться/стать ясным, безоблачным (о погоде)."
распогоживаться,несовершенный,"Становиться/стать ясным, безоблачным (о погоде)."
распогодиться,совершенный,"Становиться/стать ясным, безоблачным (о погоде)."
яснеть,несовершенный,"Становиться/стать ясным, безоблачным (о погоде)."
прояснеть,совершенный,"Становиться/стать ясным, безоблачным (о погоде)."
стлаться,несовершенный,"Медленно распространяться над поверхностью чего-либо, постепенно заполняя собой какое-либо пространство (о тумане, облаках, тучах)."
ползти,несовершенный,"Медленно распространяться над поверхностью чего-либо, постепенно заполняя собой какое-либо пространство (о тумане, облаках, тучах)."
стелиться,несовершенный,"Медленно распространяться над поверхностью чего-либо, постепенно заполняя собой какое-либо пространство (о тумане, облаках, тучах)."
таять,несовершенный,Обращаться/обратиться в жидкое состояние под действием тепла.
растаять,совершенный,Обращаться/обратиться в жидкое состояние под действием тепла.
оттаивать,несовершенный,Обращаться/обратиться в жидкое состояние под действием тепла.
оттаять,совершенный,Обращаться/обратиться в жидкое состояние под действием тепла.
холодеть,несовершенный,"Теряя тепло, становиться/стать холодным или более холодным под воздействием низкой температуры."
похолодеть,совершенный,"Теряя тепло, становиться/стать холодным или более холодным под воздействием низкой температуры."
замерзать,несовершенный,"Теряя тепло, становиться/стать холодным или более холодным под воздействием низкой температуры."
замёрзнуть,совершенный,"Теряя тепло, становиться/стать холодным или более холодным под воздействием низкой температуры."
леденеть,несовершенный,"Теряя тепло, становиться/стать холодным или более холодным под воздействием низкой температуры."
заледенеть,совершенный,"Теряя тепло, становиться/стать холодным или более холодным под воздействием низкой температуры."
стынуть,несовершенный,"Теряя тепло, становиться/стать холодным или более холодным под воздействием низкой температуры."
остынуть,совершенный,"Теряя тепло, становиться/стать холодным или более холодным под воздействием низкой температуры."
стыть,несовершенный,"Теряя тепло, становиться/стать холодным или более холодным под воздействием низкой температуры."
застыть,совершенный,"Теряя тепло, становиться/стать холодным или более холодным под воздействием низкой температуры."
холодать,несовершенный,"Теряя тепло, становиться/стать холодным или более холодным под воздействием низкой температуры."
похолодать,совершенный,"Теряя тепло, становиться/стать холодным или более холодным под воздействием низкой температуры."
холоднеть,несовершенный,"Теряя тепло, становиться/стать холодным или более холодным под воздействием низкой температуры."
холодить,несовершенный,"Понижая температуру, делать/сделать холодным."
леденить,несовершенный,"Понижая температуру, делать/сделать холодным."
охлаждать,несовершенный,"Понижая температуру, делать/сделать холодным."
охладить,совершенный,"Понижая температуру, делать/сделать холодным."
студить,несовершенный,"Понижая температуру, делать/сделать холодным."
остудить,совершенный,"Понижая температуру, делать/сделать холодным."
дуть,несовершенный,Приводить воздух в движение (о ветре).
веять,несовершенный,Приводить воздух в движение (о ветре).
задувать,несовершенный,Приводить воздух в движение (о ветре).
тянуть,несовершенный,Приводить воздух в движение (о ветре).
дышать,несовершенный,Приводить воздух в движение (о ветре).
овевать,несовершенный,Обдавать/обдать лёгкой струей воздуха.
овеять,совершенный,Обдавать/обдать лёгкой струей воздуха.
обвевать,несовершенный,Обдавать/обдать лёгкой струей воздуха.
обвеять,совершенный,Обдавать/обдать лёгкой струей воздуха.
обдувать,несовершенный,Обдавать/обдать лёгкой струей воздуха.
обдуть,совершенный,Обдавать/обдать лёгкой струей воздуха.
опахивать,несовершенный,Обдавать/обдать лёгкой струей воздуха.
опахнуть,совершенный,Обдавать/обдать лёгкой струей воздуха.
раздувать,несовершенный,Разгонять/разогнать потоком воздуха в разные стороны.
раздуть,совершенный,Разгонять/разогнать потоком воздуха в разные стороны.
разносить,несовершенный,Разгонять/разогнать потоком воздуха в разные стороны.
разнести,совершенный,Разгонять/разогнать потоком воздуха в разные стороны.
рассеивать,несовершенный,Разгонять/разогнать потоком воздуха в разные стороны.
рассеять,совершенный,Разгонять/разогнать потоком воздуха в разные стороны.
бушевать,несовершенный,"Проявляться, протекать бурно, стремительно, с необычайной, часто разрушительной силой (о погодных явлениях, стихийных и др."
безумствовать,несовершенный,"Проявляться, протекать бурно, стремительно, с необычайной, часто разрушительной силой (о погодных явлениях, стихийных и др."
беситься,несовершенный,"Проявляться, протекать бурно, стремительно, с необычайной, часто разрушительной силой (о погодных явлениях, стихийных и др."
буйствовать,несовершенный,"Проявляться, протекать бурно, стремительно, с необычайной, часто разрушительной силой (о погодных явлениях, стихийных и др."
злиться,несовершенный,"Проявляться, протекать бурно, стремительно, с необычайной, часто разрушительной силой (о погодных явлениях, стихийных и др."
свирепствовать,несовершенный,"Проявляться, протекать бурно, стремительно, с необычайной, часто разрушительной силой (о погодных явлениях, стихийных и др."
неистовствовать,несовершенный,"Проявляться, протекать бурно, стремительно, с необычайной, часто разрушительной силой (о погодных явлениях, стихийных и др."
бесноваться,несовершенный,"Проявляться, протекать бурно, стремительно, с необычайной, часто разрушительной силой (о погодных явлениях, стихийных и др."
бесчинствовать,несовершенный,"Проявляться, протекать бурно, стремительно, с необычайной, часто разрушительной силой (о погодных явлениях, стихийных и др."
буянить,несовершенный,"Проявляться, протекать бурно, стремительно, с необычайной, часто разрушительной силой (о погодных явлениях, стихийных и др."
лютовать,несовершенный,"Проявляться, протекать бурно, стремительно, с необычайной, часто разрушительной силой (о погодных явлениях, стихийных и др."
яриться,несовершенный,"Проявляться, протекать бурно, стремительно, с необычайной, часто разрушительной силой (о погодных явлениях, стихийных и др."
затоплять,несовершенный,Покрывать/покрыть водой поверхность чего-либо.
затопить,совершенный,Покрывать/покрыть водой поверхность чего-либо.
заливать,несовершенный,Покрывать/покрыть водой поверхность чего-либо.
залить,совершенный,Покрывать/покрыть водой поверхность чего-либо.
затапливать,несовершенный,Покрывать/покрыть водой поверхность чего-либо.
