id,lemma
1126,пожевать
1127,покушать
1128,перекусить
1129,перехватить
1130,поглотать
1131,подзакусить
1132,поклевать
1133,пробовать
1134,попробовать
1135,отведывать
1136,отведать
1137,испробовать
1138,отпить
1139,глотнуть
1140,отхлебнуть
1141,пригубить
1142,пить
1143,выпить
1144,выпивать
1145,выпить
1146,высасывать
1147,высосать
1148,осушать
1149,осушить
1150,выдувать
1151,выдуть
1152,вытягивать
1153,вытянуть
1154,выцеживать
1155,выцедить
1156,попивать
1157,посасывать
1158,потягивать
1159,прихлёбывать
1160,прихлебнуть
1161,сосать
1162,высосать
1163,тянуть
1164,вытянуть
1165,хлебать
1166,выхлебать
1167,цедить
1168,выцедить
1169,взбивать
1170,взбить
1171,вспенивать
1172,вспенить
1173,пенить
1174,вспенить
1175,готовить
1176,варить
1177,сварить
1178,приготовлять
1179,приготовить
1180,сооружать
1181,соорудить
1182,стряпать
1183,состряпать
1184,заправлять
1185,заправить
1186,приправлять
1187,приправить
1188,сдабривать
1189,сдобрить
1190,остужать
1191,остудить
1192,остуживать
1193,остудить
1194,охлаждать
1195,охладить
1196,приправлять
1197,приправить
1198,подливать
1199,подлить
1200,сдабривать
1201,сдобрить
1202,разбавлять
1203,разбавить
1204,разводить
1205,развести
1206,разжижать
1207,разжидить
1208,сахарить
1209,сластить
1210,насластить
1211,киснуть
1212,закиснуть
1213,заквашиваться
1214,закваситься
1215,закисать
1216,закиснуть
1217,кваситься
1218,закваситься
1219,сквашиваться
1220,скваситься
1221,киснуть
1222,прокиснуть
1223,закисать
1224,закиснуть
1225,прокисать
1226,прокиснуть
1227,скисать
1228,скиснуть
1229,проквашиваться
1230,прокваситься
1231,скисаться
1232,скиснуться
1233,отдавать
1234,отзывать
1235,попахивать
1236,припахивать
1237,портиться
1238,испортиться
1239,протухать
1240,протухнуть
1241,тухнуть
1242,протухнуть
1243,пропахнуть
1244,увариваться
1245,увариться
1246,преть
1247,упреть
1248,упревать
1249,упреть
1250,предвидеть
1251,предугадывать
1252,предугадать
1253,провидеть
1254,предчувствовать
1255,ощущать
1256,ощутить
