"id","lemma","stress","asplemma","asplemmastress","asp","style","def","constr"
"80","гореть","4","","","несовершенный","","Ярко светиться, отражая свет.",""
"81","играть","4","","","несовершенный","","Ярко светиться, отражая свет.",""
"82","искриться","5","","","несовершенный","","Ярко светиться, отражая свет.",""
"83","переливать","8","","","несовершенный","","Ярко светиться, отражая свет.",""
"84","переливаться","8","","","несовершенный","","Ярко светиться, отражая свет.",""
"85","поблёскивать и поблескивать","20","","","несовершенный","","Ярко светиться, отражая свет.",""
"86","сиять","3","","","несовершенный","","Ярко светиться, отражая свет.",""
"87","звездиться","6","","","несовершенный","трад.-поэт.","Ярко светиться, отражая свет.",""
"88","светиться","5","","","несовершенный","","Излучать несильный свет, быть видимым (об источниках света).",""
"89","брезжить","3","","","несовершенный","","Излучать несильный свет, быть видимым (об источниках света).",""
"90","брезжиться","3","","","несовершенный","","Излучать несильный свет, быть видимым (об источниках света).",""
"91","гореть","4","","","несовершенный","","Излучать несильный свет, быть видимым (об источниках света).",""
"92","лучиться","4","","","несовершенный","","Излучать несильный свет, быть видимым (об источниках света).",""
"93","мерцать","5","","","несовершенный","","Излучать несильный свет, быть видимым (об источниках света).",""
"94","мигать","4","","","несовершенный","","Излучать несильный свет, быть видимым (об источниках света).",""
"95","моргать","5","","","несовершенный","","Излучать несильный свет, быть видимым (об источниках света).",""
"96","просвечивать","6","","","несовершенный","","Излучать несильный свет, быть видимым (об источниках света).",""
"97","сверкать","6","","","несовершенный","","Излучать несильный свет, быть видимым (об источниках света).",""
"98","светить","5","","","несовершенный","","Излучать несильный свет, быть видимым (об источниках света).",""
"99","сиять","3","","","несовершенный","","Излучать несильный свет, быть видимым (об источниках света).",""
"100","сквозить","6","","","несовершенный","","Излучать несильный свет, быть видимым (об источниках света).",""
"101","теплиться","2","","","несовершенный","","Излучать несильный свет, быть видимым (об источниках света).",""
"102","смеркаться","6","","","несовершенный","","Переставать/перестать освещаться солнцем с наступлением ночи, заката солнца.",""
"103","смеркнуться","3","","","совершенный","","Переставать/перестать освещаться солнцем с наступлением ночи, заката солнца.",""
"104","вечереть","6","","","несовершенный","","Переставать/перестать освещаться солнцем с наступлением ночи, заката солнца.",""
"105","свечереть","7","","","совершенный","","Переставать/перестать освещаться солнцем с наступлением ночи, заката солнца.",""
"106","меркнуть","2","","","несовершенный","","Переставать/перестать освещаться солнцем с наступлением ночи, заката солнца.",""
"107","смеркнуть","3","","","совершенный","","Переставать/перестать освещаться солнцем с наступлением ночи, заката солнца.",""
"108","темнеть","5","","","несовершенный","","Переставать/перестать освещаться солнцем с наступлением ночи, заката солнца.",""
"109","стемнеть","6","","","совершенный","","Переставать/перестать освещаться солнцем с наступлением ночи, заката солнца.",""
"110","темнеться","5","","","несовершенный","разг.","Переставать/перестать освещаться солнцем с наступлением ночи, заката солнца.",""
"111","стемнеться","6","","","совершенный","","Переставать/перестать освещаться солнцем с наступлением ночи, заката солнца.",""
"112","жечь","2","","","несовершенный","","Обдавать/обдать зноем, жаром (о солнце).","кого-что"
"113","палить","4","","","несовершенный","","Обдавать/обдать зноем, жаром (о солнце).",""
"114","печь","2","","","несовершенный","","Обдавать/обдать зноем, жаром (о солнце).","кого-что"
"115","припекать","7","","","несовершенный","","Обдавать/обдать зноем, жаром (о солнце).","кого-что, без доп"
"116","припечь","5","","","совершенный","","Обдавать/обдать зноем, жаром (о солнце).",""
"117","жарить","2","","","несовершенный","разг.","Обдавать/обдать зноем, жаром (о солнце).","кого-что, без доп"
"118","калить","4","","","несовершенный","разг.","Обдавать/обдать зноем, жаром (о солнце).","что, без доп"
"119","замерзать","7","","","несовершенный","","Превращаться/превратиться в лёд или затвердевать/затвердеть в результате воздействия холода.",""
"120","замёрзнуть","4","","","совершенный","","Превращаться/превратиться в лёд или затвердевать/затвердеть в результате воздействия холода.",""
"121","подмерзать","8","","","несовершенный","","Превращаться/превратиться в лёд или затвердевать/затвердеть в результате воздействия холода.",""
"122","подмёрзнуть","5","","","совершенный","","Превращаться/превратиться в лёд или затвердевать/затвердеть в результате воздействия холода.",""
"123","сковываться","3","","","несовершенный","","Превращаться/превратиться в лёд или затвердевать/затвердеть в результате воздействия холода.",""
"124","сковаться","5","","","совершенный","","Превращаться/превратиться в лёд или затвердевать/затвердеть в результате воздействия холода.",""
"125","вставать","6","","","несовершенный","разг.","Превращаться/превратиться в лёд или затвердевать/затвердеть в результате воздействия холода.",""
"126","встать","4","","","совершенный","","Превращаться/превратиться в лёд или затвердевать/затвердеть в результате воздействия холода.",""
"127","застывать","7","","","несовершенный","разг.","Превращаться/превратиться в лёд или затвердевать/затвердеть в результате воздействия холода.",""
"128","застыть","5","","","совершенный","","Превращаться/превратиться в лёд или затвердевать/затвердеть в результате воздействия холода.",""
"129","становиться","7","","","несовершенный","разг.","Превращаться/превратиться в лёд или затвердевать/затвердеть в результате воздействия холода.",""
"130","стать","3","","","совершенный","","Превращаться/превратиться в лёд или затвердевать/затвердеть в результате воздействия холода.",""
"131","замораживать","6","","","несовершенный","","Подвергать/подвергнуть действию сильного холода, превращая в лёд (о воде), делать/сделать твёрдым, как камень (о почве, земле).","что"
"132","заморозить","6","","","совершенный","","Подвергать/подвергнуть действию сильного холода, превращая в лёд (о воде), делать/сделать твёрдым, как камень (о почве, земле).",""
"133","заковывать","4","","","несовершенный","","Подвергать/подвергнуть действию сильного холода, превращая в лёд (о воде), делать/сделать твёрдым, как камень (о почве, земле).","что"
"134","заковать","6","","","совершенный","","Подвергать/подвергнуть действию сильного холода, превращая в лёд (о воде), делать/сделать твёрдым, как камень (о почве, земле).",""
"135","заледенить","8","","","несовершенный","","Подвергать/подвергнуть действию сильного холода, превращая в лёд (о воде), делать/сделать твёрдым, как камень (о почве, земле).","что"
"136","сковывать","3","","","несовершенный","","Подвергать/подвергнуть действию сильного холода, превращая в лёд (о воде), делать/сделать твёрдым, как камень (о почве, земле).","что"
"137","сковать","5","","","совершенный","","Подвергать/подвергнуть действию сильного холода, превращая в лёд (о воде), делать/сделать твёрдым, как камень (о почве, земле).",""
"138","схватывать","4","","","несовершенный","","Подвергать/подвергнуть действию сильного холода, превращая в лёд (о воде), делать/сделать твёрдым, как камень (о почве, земле).","что"
"139","схватить","6","","","совершенный","","Подвергать/подвергнуть действию сильного холода, превращая в лёд (о воде), делать/сделать твёрдым, как камень (о почве, земле).",""
"140","застилать","7","","","несовершенный","","Покрывать/покрыть собой небо, небосклон, небесные светила, горизонт, землю, топографические объекты, ландшафт и т.п.","что"
"141","застлать","6","","","совершенный","","Покрывать/покрыть собой небо, небосклон, небесные светила, горизонт, землю, топографические объекты, ландшафт и т.п.",""
"142","заволакивать","6","","","несовершенный","","Покрывать/покрыть собой небо, небосклон, небесные светила, горизонт, землю, топографические объекты, ландшафт и т.п.","что"
"143","заволочь","6","","","совершенный","","Покрывать/покрыть собой небо, небосклон, небесные светила, горизонт, землю, топографические объекты, ландшафт и т.п.",""
"144","закрывать","7","","","несовершенный","","Покрывать/покрыть собой небо, небосклон, небесные светила, горизонт, землю, топографические объекты, ландшафт и т.п.","что"
"145","закрыть","5","","","совершенный","","Покрывать/покрыть собой небо, небосклон, небесные светила, горизонт, землю, топографические объекты, ландшафт и т.п.",""
"146","затуманивать","6","","","несовершенный","","Покрывать/покрыть собой небо, небосклон, небесные светила, горизонт, землю, топографические объекты, ландшафт и т.п.","что"
"147","затуманить","6","","","совершенный","","Покрывать/покрыть собой небо, небосклон, небесные светила, горизонт, землю, топографические объекты, ландшафт и т.п.",""
"148","затягивать","4","","","несовершенный","","Покрывать/покрыть собой небо, небосклон, небесные светила, горизонт, землю, топографические объекты, ландшафт и т.п.","что"
"149","затянуть","6","","","совершенный","","Покрывать/покрыть собой небо, небосклон, небесные светила, горизонт, землю, топографические объекты, ландшафт и т.п.",""
"150","обволакивать","6","","","несовершенный","","Покрывать/покрыть собой небо, небосклон, небесные светила, горизонт, землю, топографические объекты, ландшафт и т.п.","что"
"151","обволочь","6","","","совершенный","","Покрывать/покрыть собой небо, небосклон, небесные светила, горизонт, землю, топографические объекты, ландшафт и т.п.",""
"152","обкладывать","5","","","несовершенный","","Покрывать/покрыть собой небо, небосклон, небесные светила, горизонт, землю, топографические объекты, ландшафт и т.п.","что"
"153","обложить","6","","","совершенный","","Покрывать/покрыть собой небо, небосклон, небесные светила, горизонт, землю, топографические объекты, ландшафт и т.п.",""
"154","окутывать","3","","","несовершенный","","Покрывать/покрыть собой небо, небосклон, небесные светила, горизонт, землю, топографические объекты, ландшафт и т.п.","что"
"155","окутать","3","","","совершенный","","Покрывать/покрыть собой небо, небосклон, небесные светила, горизонт, землю, топографические объекты, ландшафт и т.п.",""
"156","подёргивать","4","","","несовершенный","","Покрывать/покрыть собой небо, небосклон, небесные светила, горизонт, землю, топографические объекты, ландшафт и т.п.","что"
"157","подёрнуть","4","","","совершенный","","Покрывать/покрыть собой небо, небосклон, небесные светила, горизонт, землю, топографические объекты, ландшафт и т.п.",""
"158","туманить","4","","","несовершенный","","Покрывать/покрыть собой небо, небосклон, небесные светила, горизонт, землю, топографические объекты, ландшафт и т.п.","что"
"159","затуманить","6","","","совершенный","","Покрывать/покрыть собой небо, небосклон, небесные светила, горизонт, землю, топографические объекты, ландшафт и т.п.",""
"160","заслонять","7","","","несовершенный","","Покрывать/покрыть собой небо, небосклон, небесные светила, горизонт, землю, топографические объекты, ландшафт и т.п.","что"
"161","заслонить","7","","","совершенный","","Покрывать/покрыть собой небо, небосклон, небесные светила, горизонт, землю, топографические объекты, ландшафт и т.п.",""
"162","загораживать","6","","","несовершенный","","Покрывать/покрыть собой небо, небосклон, небесные светила, горизонт, землю, топографические объекты, ландшафт и т.п.","что"
"163","загородить","8","","","совершенный","","Покрывать/покрыть собой небо, небосклон, небесные светила, горизонт, землю, топографические объекты, ландшафт и т.п.",""
"164","проясняться","7","","","несовершенный","","Становиться/стать ясным, безоблачным (о погоде).",""
"165","проясниться","7","","","совершенный","","Становиться/стать ясным, безоблачным (о погоде).",""
"166","светлеть","6","","","несовершенный","","Становиться/стать ясным, безоблачным (о погоде).",""
"167","просветлеть","9","","","совершенный","","Становиться/стать ясным, безоблачным (о погоде).",""
"168","проясниваться","4","","","несовершенный","разг.","Становиться/стать ясным, безоблачным (о погоде).",""
"169","проясниться","7","","","совершенный","","Становиться/стать ясным, безоблачным (о погоде).",""
"170","разветриваться","5","","","несовершенный","разг.","Становиться/стать ясным, безоблачным (о погоде).",""
"171","разветриться","5","","","совершенный","","Становиться/стать ясным, безоблачным (о погоде).",""
"172","разгуливаться","5","","","несовершенный","разг.","Становиться/стать ясным, безоблачным (о погоде).",""
"173","разгуляться","7","","","совершенный","","Становиться/стать ясным, безоблачным (о погоде).",""
"174","разъяснеть","5","","","несовершенный","разг.","Становиться/стать ясным, безоблачным (о погоде).",""
"175","разъясниваться","5","","","несовершенный","разг.","Становиться/стать ясным, безоблачным (о погоде).",""
"176","разъясниться","8","","","совершенный","","Становиться/стать ясным, безоблачным (о погоде).",""
"177","распогоживаться","7","","","несовершенный","разг.","Становиться/стать ясным, безоблачным (о погоде).",""
"178","распогодиться","7","","","совершенный","","Становиться/стать ясным, безоблачным (о погоде).",""
"179","яснеть","4","","","несовершенный","разг.","Становиться/стать ясным, безоблачным (о погоде).",""
"180","прояснеть","4","","","совершенный","","Становиться/стать ясным, безоблачным (о погоде).",""
"181","стлаться","4","","","несовершенный","","Медленно распространяться над поверхностью чего-либо, постепенно заполняя собой какое-либо пространство (о тумане, облаках, тучах).",""
"182","ползти","6","","","несовершенный","разг.","Медленно распространяться над поверхностью чего-либо, постепенно заполняя собой какое-либо пространство (о тумане, облаках, тучах).",""
"183","стелиться","5","","","несовершенный","разг.","Медленно распространяться над поверхностью чего-либо, постепенно заполняя собой какое-либо пространство (о тумане, облаках, тучах).",""
"184","таять","2","","","несовершенный","","Обращаться/обратиться в жидкое состояние под действием тепла.",""
"185","растаять","5","","","совершенный","","Обращаться/обратиться в жидкое состояние под действием тепла.",""
"186","оттаивать","4","","","несовершенный","","Обращаться/обратиться в жидкое состояние под действием тепла.",""
"187","оттаять","4","","","совершенный","","Обращаться/обратиться в жидкое состояние под действием тепла.",""
"188","холодеть","6","","","несовершенный","","Теряя тепло, становиться/стать холодным или более холодным под воздействием низкой температуры.",""
"189","похолодеть","8","","","совершенный","","Теряя тепло, становиться/стать холодным или более холодным под воздействием низкой температуры.",""
"190","замерзать","7","","","несовершенный","","Теряя тепло, становиться/стать холодным или более холодным под воздействием низкой температуры.",""
"191","замёрзнуть","4","","","совершенный","","Теряя тепло, становиться/стать холодным или более холодным под воздействием низкой температуры.",""
"192","леденеть","6","","","несовершенный","","Теряя тепло, становиться/стать холодным или более холодным под воздействием низкой температуры.",""
"193","заледенеть","8","","","совершенный","","Теряя тепло, становиться/стать холодным или более холодным под воздействием низкой температуры.",""
"194","стынуть","3","","","несовершенный","","Теряя тепло, становиться/стать холодным или более холодным под воздействием низкой температуры.",""
"195","остынуть","4","","","совершенный","","Теряя тепло, становиться/стать холодным или более холодным под воздействием низкой температуры.",""
"196","стыть","3","","","несовершенный","","Теряя тепло, становиться/стать холодным или более холодным под воздействием низкой температуры.",""
"197","застыть","5","","","совершенный","","Теряя тепло, становиться/стать холодным или более холодным под воздействием низкой температуры.",""
"198","холодать","6","","","несовершенный","разг.","Теряя тепло, становиться/стать холодным или более холодным под воздействием низкой температуры.",""
"199","похолодать","8","","","совершенный","","Теряя тепло, становиться/стать холодным или более холодным под воздействием низкой температуры.",""
"200","холоднеть","7","","","несовершенный","разг.","Теряя тепло, становиться/стать холодным или более холодным под воздействием низкой температуры.",""
"201","холодить","6","","","несовершенный","","Понижая температуру, делать/сделать холодным.","что"
"202","леденить","6","","","несовершенный","","Понижая температуру, делать/сделать холодным.","что"
"203","охлаждать","7","","","несовершенный","","Понижая температуру, делать/сделать холодным.","что"
"204","охладить","6","","","совершенный","","Понижая температуру, делать/сделать холодным.",""
"205","студить","5","","","несовершенный","разг.","Понижая температуру, делать/сделать холодным.","что"
"206","остудить","6","","","совершенный","","Понижая температуру, делать/сделать холодным.",""
"207","дуть","2","","","несовершенный","","Приводить воздух в движение (о ветре).",""
"208","веять","2","","","несовершенный","","Приводить воздух в движение (о ветре).",""
